sender_id,receiver_id,timestamp,rssi
13,3,0.825,-78
13,25,1.025,-96
13,33,0.93,-94
13,34,1.006,-85
13,38,0.738,-79
35,10,0.258,-83
35,17,0.49,-87
35,19,0.255,-87
35,20,0.503,-97
35,22,0.9,-82
35,31,0.079,-99
35,39,0.479,-89
15,4,0.294,-84
15,16,1.028,-83
15,23,0.102,-97
15,24,0.197,-88
15,29,0.913,-88
15,36,0.616,-85
7,4,0.41,-84
7,9,0.474,-86
7,14,0.533,-83
7,16,1.144,-92
7,21,0.275,-85
7,26,0.567,-100
7,32,0.813,-92
27,25,1.223,-89
27,28,0.807,-94
41,1,0.948,-96
41,9,0.493,-91
41,14,0.552,-86
41,16,1.163,-94
41,26,0.586,-87
41,32,0.832,-100
28,11,0.599,-86
28,37,0.468,-88
28,38,1.144,-93
20,39,0.996,-84
17,19,0.772,-81
17,22,1.417,-84
17,35,1.553,-84
39,10,0.821,-89
39,17,1.053,-87
39,19,0.818,-73
39,20,1.066,-90
39,35,1.599,-89
40,6,0.943,-88
1,30,1.453,-92
1,31,0.837,-91
10,17,1.254,-89
10,19,1.019,-92
10,20,1.267,-82
10,35,1.8,-88
10,39,1.243,-90
16,2,0.923,-85
16,15,1.748,-84
16,21,0.876,-96
16,26,1.168,-84
16,29,1.63,-92
16,31,0.854,-98
4,7,1.668,-83
4,9,1.102,-90
4,14,1.161,-92
4,15,1.775,-83
4,16,1.772,-88
4,21,0.903,-85
4,23,0.846,-100
4,24,0.941,-90
4,26,1.195,-92
11,25,1.839,-92
11,27,1.641,-92
9,3,1.708,-95
9,4,1.112,-91
9,7,1.742,-88
9,14,1.235,-72
9,21,0.977,-64
9,25,1.908,-96
9,38,1.621,-100
24,7,1.747,-97
24,15,1.854,-85
24,16,1.851,-90
24,29,1.736,-84
24,36,1.439,-84
12,24,1.026,-94
12,29,1.742,-89
26,2,1.112,-88
26,4,1.2,-95
26,9,1.264,-95
26,16,1.934,-85
26,23,1.008,-92
26,31,1.043,-90
32,3,1.827,-90
32,9,1.295,-91
32,25,2.027,-94
32,28,1.611,-90
32,30,1.69,-93
32,33,1.932,-64
32,37,1.064,-83
32,38,1.74,-83
14,4,1.404,-88
14,7,2.034,-82
14,9,1.468,-76
14,16,2.138,-89
14,21,1.269,-74
14,25,2.2,-95
14,32,1.807,-94
21,16,2.263,-93
30,3,2.207,-91
30,13,2.386,-97
30,40,1.661,-98
2,5,1.505,-84
2,15,2.356,-91
2,16,2.353,-91
2,18,2.291,-99
2,23,1.427,-92
2,24,1.522,-90
2,26,1.776,-81
2,29,2.238,-86
15,4,1.636,-83
15,14,1.759,-93
15,16,2.37,-83
15,21,1.501,-99
15,24,1.539,-84
15,29,2.255,-86
15,36,1.958,-90
29,2,1.592,-83
29,5,1.566,-79
29,9,1.744,-97
29,15,2.417,-88
29,23,1.488,-90
29,24,1.583,-88
29,36,2.002,-84
7,9,1.812,-88
21,2,1.737,-89
21,4,1.825,-92
21,9,1.889,-60
21,14,1.948,-76
21,16,2.559,-92
37,11,1.852,-91
37,14,2.011,-94
37,25,2.684,-85
37,28,2.268,-86
37,32,2.291,-82
37,33,2.589,-87
38,3,2.5,-85
38,13,2.679,-79
38,28,2.284,-95
38,32,2.307,-87
38,33,2.605,-89
38,34,2.681,-90
38,37,1.737,-89
7,4,1.937,-83
7,9,2.001,-86
7,14,2.06,-82
7,15,2.674,-91
7,25,2.733,-95
23,2,1.931,-85
23,5,1.905,-83
23,18,2.691,-91
23,26,2.176,-93
23,36,2.341,-93
25,9,2.105,-99
25,14,2.164,-87
25,27,2.639,-83
25,28,2.421,-92
25,32,2.444,-87
25,33,2.742,-90
25,37,1.874,-83
31,1,2.57,-87
31,8,2.821,-82
3,13,2.828,-77
3,30,2.512,-90
3,32,2.456,-91
3,34,2.83,-84
4,2,2.037,-90
4,7,2.755,-84
4,9,2.189,-98
4,14,2.248,-86
4,15,2.862,-83
4,16,2.859,-89
4,29,2.744,-90
13,3,2.762,-75
13,34,2.943,-84
33,4,2.168,-92
33,21,2.033,-86
18,23,1.995,-92
37,32,2.596,-86
28,11,2.183,-83
28,27,2.817,-98
28,37,2.052,-85
28,38,2.728,-93
36,2,2.139,-84
36,5,2.113,-86
36,12,2.144,-88
36,23,2.035,-89
36,24,2.13,-86
36,29,2.846,-77
36,15,3.028,-94
5,2,2.308,-86
5,12,2.313,-93
5,23,2.204,-84
5,26,2.553,-93
5,29,3.015,-77
5,36,2.718,-81
25,9,2.504,-92
24,2,2.366,-89
24,4,2.454,-89
24,5,2.34,-87
24,15,3.191,-86
24,36,2.776,-82
15,16,3.25,-87
7,9,2.637,-88
32,3,3.188,-88
32,9,2.656,-88
32,25,3.388,-83
32,33,3.293,-62
32,37,2.425,-84
32,38,3.101,-88
41,8,3.408,-89
41,9,2.702,-99
41,16,3.372,-91
41,26,2.795,-82
41,31,2.481,-92
